ts_code,symbol,name,enname,aliases
1903.TW,1903.TW,士纸,,士紙
1904.TW,1904.TW,正隆,,
1905.TW,1905.TW,华纸,,華紙
1906.TW,1906.TW,宝隆,,寶隆
1907.TW,1907.TW,永丰余,,永豐餘
1909.TW,1909.TW,荣成,,榮成
2002.TW,2002.TW,中钢,,中鋼
2006.TW,2006.TW,东和钢铁,,東和鋼鐵
2007.TW,2007.TW,烨兴,,燁興
2008.TW,2008.TW,高兴昌,,高興昌
2009.TW,2009.TW,第一铜,,第一銅
2010.TW,2010.TW,春源,,
2012.TW,2012.TW,春雨,,
2013.TW,2013.TW,中钢构,,中鋼構
2014.TW,2014.TW,中鸿,,中鴻
2015.TW,2015.TW,丰兴,,豐興
2017.TW,2017.TW,官田钢,,官田鋼
2020.TW,2020.TW,美亚,,美亞
2022.TW,2022.TW,聚亨,,
2023.TW,2023.TW,烨辉,,燁輝
2024.TW,2024.TW,志联,,志聯
2025.TW,2025.TW,千兴,,千興
2027.TW,2027.TW,大成钢,,大成鋼
2028.TW,2028.TW,威致,,
2029.TW,2029.TW,盛余,,盛餘
2030.TW,2030.TW,彰源,,
2031.TW,2031.TW,新光钢,,新光鋼
2032.TW,2032.TW,新钢,,新鋼
2033.TW,2033.TW,佳大,,
2034.TW,2034.TW,允强,,允強
2035.TWO,2035.TWO,唐荣,,唐榮
2038.TW,2038.TW,海光,,
2049.TW,2049.TW,上银,,上銀
2059.TW,2059.TW,川湖,,
2061.TWO,2061.TWO,风青,,風青
2062.TW,2062.TW,桥椿,,橋椿
2063.TWO,2063.TWO,世铠,,世鎧
2064.TWO,2064.TWO,晋椿,,晉椿
2065.TWO,2065.TWO,世丰,,世豐
2066.TWO,2066.TWO,世德,,
2067.TWO,2067.TWO,嘉钢,,嘉鋼
2069.TW,2069.TW,运锠,,運錩
2070.TWO,2070.TWO,精湛,,
2072.TW,2072.TW,世纪风电,,世紀風電
2073.TWO,2073.TWO,雄顺,,雄順
2101.TW,2101.TW,南港,,
2102.TW,2102.TW,泰丰,,泰豐
2103.TW,2103.TW,台橡,,
2104.TW,2104.TW,国际中橡,,國際中橡
2105.TW,2105.TW,正新,,
2106.TW,2106.TW,建大,,
2107.TW,2107.TW,厚生,,
2108.TW,2108.TW,南帝,,
2109.TW,2109.TW,华丰,,華豐
2114.TW,2114.TW,鑫永铨,,鑫永銓
2115.TW,2115.TW,六晖-KY,,六暉-KY
2201.TW,2201.TW,裕隆,,
2204.TW,2204.TW,中华,,中華
2206.TW,2206.TW,三阳工业,,三陽工業
2207.TW,2207.TW,和泰车,,和泰車
2208.TW,2208.TW,台船,,
2211.TW,2211.TW,长荣钢,,長榮鋼
2221.TWO,2221.TWO,大甲,,
2227.TW,2227.TW,裕日车,,裕日車
2228.TW,2228.TW,剑麟,,劍麟
2230.TWO,2230.TWO,泰茂,,
2231.TW,2231.TW,为升,,為升
2233.TW,2233.TW,宇隆,,
2235.TWO,2235.TWO,谥源,,謚源
2236.TW,2236.TW,百达-KY,,百達-KY
2239.TW,2239.TW,英利-KY,,
2241.TW,2241.TW,艾姆勒,,
2243.TW,2243.TW,宏旭-KY,,
2247.TW,2247.TW,泛德永业,,汎德永業
2248.TW,2248.TW,华胜-KY,,華勝-KY
2250.TW,2250.TW,IKKA-KY,,
2254.TW,2254.TW,巨铠精密-创,,巨鎧精密-創
2258.TW,2258.TW,鸿华先进-创,,鴻華先進-創
2301.TW,2301.TW,光宝科,,光寶科
2302.TW,2302.TW,丽正,,麗正
2303.TW,2303.TW,联电,,聯電
2305.TW,2305.TW,全友,,
2308.TW,2308.TW,台达电,,台達電|Delta
2312.TW,2312.TW,金宝,,金寶
2313.TW,2313.TW,华通,,華通
2314.TW,2314.TW,台扬,,台揚
2316.TW,2316.TW,楠梓电,,楠梓電
2317.TW,2317.TW,鸿海,,鴻海|Foxconn|富士康
2321.TW,2321.TW,东讯,,東訊
2323.TW,2323.TW,中环,,中環
2324.TW,2324.TW,仁宝,,仁寶
2327.TW,2327.TW,国巨*,,國巨*
2328.TW,2328.TW,广宇,,廣宇
2329.TW,2329.TW,华泰,,華泰
2330.TW,2330.TW,台积电,,台積電|TSMC|台湾积体电路
2331.TW,2331.TW,精英,,
2332.TW,2332.TW,友讯,,友訊
2337.TW,2337.TW,旺宏,,
2338.TW,2338.TW,光罩,,
2340.TW,2340.TW,台亚,,台亞
2342.TW,2342.TW,茂矽,,
2344.TW,2344.TW,华邦电,,華邦電
2345.TW,2345.TW,智邦,,
2347.TW,2347.TW,联强,,聯強
2348.TW,2348.TW,海悦,,海悅
2349.TW,2349.TW,铼德,,錸德
2351.TW,2351.TW,顺德,,順德
2352.TW,2352.TW,佳世达,,佳世達
2353.TW,2353.TW,宏碁,,
2354.TW,2354.TW,鸿准,,鴻準
2355.TW,2355.TW,敬鹏,,敬鵬
2356.TW,2356.TW,英业达,,英業達
2357.TW,2357.TW,华硕,,華碩
2359.TW,2359.TW,所罗门,,所羅門
2360.TW,2360.TW,致茂,,
2362.TW,2362.TW,蓝天,,藍天
2363.TW,2363.TW,矽统,,矽統
2364.TW,2364.TW,伦飞,,倫飛
